"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","year","work","world","can","may","must","presid","busi","america","will","govern","right","freedom","law","want"
"2","one","famili","peac","peopl","shall","nation","parti","industri","new","countri","state","peopl","hope","congress","know"
"3","time","job","war","good","public","great","republican","product","american","everi","power","free","men","administr","just"
"4","now","tax","nation","mani","duti","peopl","democrat","increas","let","make","unit","citizen","life","execut","like"
"5","first","million","forc","well","confid","respons","say","system","futur","american","union","equal","live","constitut","think"
"6","last","children","polici","chang","upon","econom","great","labor","world","believ","constitut","liberti","man","made","say"
"7","histori","help","defens","way","servic","progress","thank","trade","togeth","never","interest","justic","see","shall","dont"
"8","come","care","strength","much","honor","problem","elect","countri","promis","peopl","general","polit","call","question","that"
"9","ago","economi","use","thing","countri","need","friend","protect","opportun","give","limit","person","love","may","get"
"10","anoth","pay","militari","long","trust","seek","tonight","import","build","best","form","nation","god","legisl","tell"
"11","two","school","danger","time","spirit","continu","accept","upon","live","now","upon","secur","faith","without","ive"
"12","day","plan","arm","even","support","govern","said","use","better","need","principl","common","day","upon","back"
"13","place","program","secur","done","patriot","life","convent","public","today","serv","feder","without","heart","act","talk"
"14","past","educ","also","find","great","prosper","proud","tariff","centuri","alway","exist","everi","land","order","immigr"
"15","ever","creat","strong","make","high","resourc","leader","polici","home","sure","part","individu","women","subject","put"
"16","sinc","save","intern","mean","experi","purpos","campaign","revenu","challeng","choic","institut","civil","fear","reason","someth"
"17","end","home","becom","take","principl","understand","vote","benefit","old","whether","preserv","hold","caus","enforc","weve"
"18","four","health","foreign","less","express","achiev","member","market","come","lead","whole","found","human","effect","happen"
"19","today","worker","defend","now","best","task","ask","employ","begin","bring","within","one","democraci","necessari","<e2><80><93>"
"20","greatest","valu","nuclear","tri","desir","greater","hous","produc","stand","abl","direct","place","know","issu","big"
